date,state,district,pincode,age_0_5,age_5_17,age_18_greater,district_new
11-09-2025,karnataka,belgaum,590014,5,0,0,
11-09-2025,karnataka,belgaum,591104,2,0,0,
11-09-2025,karnataka,belgaum,591114,3,0,0,
11-09-2025,karnataka,belgaum,591120,1,2,0,
11-09-2025,karnataka,belgaum,591128,2,0,0,
11-09-2025,karnataka,belgaum,591130,0,1,0,
11-09-2025,karnataka,belgaum,591143,1,0,0,
11-09-2025,karnataka,belgaum,591213,2,0,0,
11-09-2025,karnataka,belgaum,591222,2,0,0,
11-09-2025,karnataka,belgaum,591232,1,0,0,
11-09-2025,karnataka,belgaum,591242,1,0,0,
11-09-2025,karnataka,belgaum,591248,1,1,0,
11-09-2025,karnataka,belgaum,591265,1,0,0,
11-09-2025,karnataka,belgaum,591287,1,0,0,
11-09-2025,karnataka,bellary,583115,1,0,0,
11-09-2025,karnataka,bellary,583117,7,3,0,
11-09-2025,karnataka,bellary,583119,2,0,0,
11-09-2025,karnataka,bellary,583201,1,0,0,
11-09-2025,karnataka,bellary,583212,2,4,0,
11-09-2025,karnataka,bellary,583214,2,1,0,
11-09-2025,karnataka,bengaluru,560002,1,0,0,
11-09-2025,karnataka,bengaluru,560013,2,0,0,
11-09-2025,karnataka,bengaluru,560022,1,0,1,
11-09-2025,karnataka,bengaluru,560030,1,0,1,
11-09-2025,karnataka,bengaluru,560043,6,0,1,
11-09-2025,karnataka,bengaluru,560046,1,0,0,
11-09-2025,karnataka,bengaluru,560056,2,0,0,
11-09-2025,karnataka,bengaluru,560057,2,2,0,
11-09-2025,karnataka,bengaluru,560064,3,1,1,
11-09-2025,karnataka,bengaluru,560068,9,3,2,
11-09-2025,karnataka,bengaluru,560075,2,0,0,
11-09-2025,karnataka,bengaluru,560076,3,1,1,
11-09-2025,karnataka,bengaluru,560083,2,0,0,
11-09-2025,karnataka,bengaluru,560086,2,2,0,
11-09-2025,karnataka,bengaluru,560097,2,0,0,
11-09-2025,karnataka,bengaluru,560099,0,1,0,
11-09-2025,karnataka,bengaluru,560100,8,1,1,
11-09-2025,karnataka,bijapur,586119,2,0,0,
11-09-2025,karnataka,bijapur,586120,2,2,0,
11-09-2025,karnataka,bijapur,586124,1,4,0,
11-09-2025,karnataka,bijapur,586125,2,0,0,
11-09-2025,karnataka,gulbarga,585103,6,0,0,
11-09-2025,karnataka,gulbarga,585212,1,1,0,
11-09-2025,karnataka,gulbarga,585217,3,1,0,
11-09-2025,karnataka,gulbarga,585228,1,2,0,
11-09-2025,karnataka,gulbarga,585302,1,0,0,
11-09-2025,karnataka,gulbarga,585313,3,0,0,
11-09-2025,karnataka,gulbarga,585316,1,1,0,
11-09-2025,karnataka,gulbarga,585320,1,0,0,
11-09-2025,karnataka,mysore,570009,2,0,0,
11-09-2025,karnataka,mysore,570016,1,0,0,
11-09-2025,karnataka,ramanagar,561101,29,0,0,
11-09-2025,karnataka,ramanagar,562117,5,1,0,
11-09-2025,karnataka,ramanagar,562121,1,0,0,
11-09-2025,karnataka,ramanagar,571511,1,0,0,
11-09-2025,madhya pradesh,east nimar,450001,10,0,0,
11-09-2025,madhya pradesh,east nimar,450110,0,1,0,
11-09-2025,madhya pradesh,hoshangabad,461116,5,0,0,
11-09-2025,madhya pradesh,hoshangabad,461221,2,0,0,
11-09-2025,madhya pradesh,hoshangabad,461223,7,0,0,
11-09-2025,madhya pradesh,hoshangabad,461771,1,2,0,
11-09-2025,madhya pradesh,hoshangabad,461775,43,2,0,
11-09-2025,madhya pradesh,west nimar,451228,1,0,0,
11-09-2025,madhya pradesh,west nimar,451660,0,1,0,
11-09-2025,maharashtra,ahmadnagar,413204,1,2,0,
11-09-2025,maharashtra,ahmadnagar,413701,1,1,0,
11-09-2025,maharashtra,ahmadnagar,413702,1,0,0,
11-09-2025,maharashtra,ahmadnagar,413704,0,2,0,
11-09-2025,maharashtra,ahmadnagar,413710,5,1,0,
11-09-2025,maharashtra,ahmadnagar,413728,2,0,0,
11-09-2025,maharashtra,ahmadnagar,413737,2,0,0,
11-09-2025,maharashtra,ahmadnagar,414001,6,3,0,
11-09-2025,maharashtra,ahmadnagar,414002,3,1,0,
11-09-2025,maharashtra,ahmadnagar,414006,2,1,0,
11-09-2025,maharashtra,ahmadnagar,414102,2,5,0,
11-09-2025,maharashtra,ahmadnagar,414303,1,0,0,
11-09-2025,maharashtra,ahmadnagar,414307,0,1,0,
11-09-2025,maharashtra,ahmadnagar,414401,2,1,0,
11-09-2025,maharashtra,ahmadnagar,414502,8,2,0,
11-09-2025,maharashtra,ahmadnagar,414503,6,0,0,
11-09-2025,maharashtra,ahmadnagar,414604,0,1,0,
11-09-2025,maharashtra,ahmadnagar,414606,0,1,0,
11-09-2025,maharashtra,ahmadnagar,422610,1,1,0,
11-09-2025,maharashtra,ahmadnagar,423607,0,1,0,
11-09-2025,maharashtra,aurangabad,423702,4,3,0,
11-09-2025,maharashtra,aurangabad,431101,1,6,0,
11-09-2025,maharashtra,aurangabad,431110,2,2,0,
11-09-2025,maharashtra,aurangabad,431111,3,1,0,
11-09-2025,maharashtra,aurangabad,431117,1,0,0,
11-09-2025,maharashtra,aurangabad,431120,2,0,0,
11-09-2025,maharashtra,aurangabad,431133,6,4,0,
11-09-2025,maharashtra,aurangabad,431136,3,0,0,
11-09-2025,maharashtra,bid,431517,1,0,0,
11-09-2025,maharashtra,osmanabad,413510,1,0,0,
11-09-2025,maharashtra,osmanabad,413603,1,0,0,
11-09-2025,maharashtra,osmanabad,413606,6,1,0,
11-09-2025,maharashtra,osmanabad,413624,1,0,0,
11-09-2025,manipur,imphal east,795130,2,1,0,
11-09-2025,manipur,imphal west,795132,1,1,0,
11-09-2025,manipur,imphal west,795136,1,1,1,
11-09-2025,meghalaya,east garo hills,794002,0,1,0,
11-09-2025,meghalaya,east khasi hills,793015,1,1,11,
11-09-2025,meghalaya,east khasi hills,793017,0,0,1,
11-09-2025,meghalaya,east khasi hills,793019,2,0,2,
11-09-2025,meghalaya,east khasi hills,793021,0,0,4,
11-09-2025,meghalaya,east khasi hills,793111,1,2,0,
11-09-2025,meghalaya,east khasi hills,793121,1,1,9,
11-09-2025,meghalaya,eastern west khasi hills,793120,0,5,0,
11-09-2025,meghalaya,west jaintia hills,793109,0,1,0,
11-09-2025,meghalaya,west jaintia hills,793150,3,8,5,
11-09-2025,odisha,baleshwar,756044,1,0,0,
11-09-2025,odisha,baleshwar,756058,0,1,0,
11-09-2025,odisha,baleshwar,756083,1,0,0,
11-09-2025,odisha,baleshwar,757055,2,0,0,
11-09-2025,odisha,baleswar,756001,1,0,0,
11-09-2025,odisha,baleswar,756025,2,0,0,
11-09-2025,odisha,baleswar,756037,1,0,0,
11-09-2025,odisha,baleswar,756043,2,0,0,
11-09-2025,odisha,baleswar,756056,1,0,0,
11-09-2025,odisha,baleswar,756058,2,2,0,
11-09-2025,odisha,baleswar,756182,1,0,0,
11-09-2025,andhra pradesh,mahabub nagar,509205,1,0,0,
11-09-2025,andhra pradesh,mahabub nagar,509207,4,0,0,
11-09-2025,andhra pradesh,mahabub nagar,509339,1,1,0,
11-09-2025,andhra pradesh,mahabub nagar,509350,1,0,0,
11-09-2025,andhra pradesh,n. t. r,520001,1,0,0,
11-09-2025,andhra pradesh,n. t. r,521230,1,0,0,
11-09-2025,andhra pradesh,nalgonda,508222,1,0,0,
11-09-2025,andhra pradesh,nalgonda,508280,0,1,0,
11-09-2025,andhra pradesh,nizamabad,503001,3,1,0,
11-09-2025,andhra pradesh,nizamabad,503185,1,0,0,
11-09-2025,andhra pradesh,nizamabad,503230,1,0,0,
11-09-2025,andhra pradesh,nizamabad,503245,0,1,0,
11-09-2025,andhra pradesh,rangareddi,500018,5,3,0,
11-09-2025,andhra pradesh,rangareddi,500037,1,0,0,
11-09-2025,andhra pradesh,rangareddi,501359,1,0,0,
11-09-2025,andhra pradesh,rangareddi,509325,1,0,0,
11-09-2025,andhra pradesh,warangal,506314,1,0,0,
11-09-2025,andhra pradesh,warangal,506349,2,0,0,
11-09-2025,assam,karimganj,788156,4,6,0,
11-09-2025,assam,karimganj,788166,3,2,0,
11-09-2025,assam,karimganj,788710,3,1,0,
11-09-2025,assam,karimganj,788736,3,1,0,
11-09-2025,bihar,east champaran,845305,7,13,3,
11-09-2025,bihar,east champaran,845412,3,2,0,
11-09-2025,bihar,east champaran,845417,5,4,0,
11-09-2025,bihar,east champaran,845424,3,6,0,
11-09-2025,bihar,east champaran,845426,8,9,0,
11-09-2025,bihar,east champaran,845433,5,13,0,
11-09-2025,bihar,east champaran,845434,1,5,0,
11-09-2025,bihar,east champaran,845436,0,1,0,
11-09-2025,bihar,east champaran,845456,2,4,0,
11-09-2025,bihar,east champaran,855456,0,1,0,
11-09-2025,bihar,west champaran,845306,6,5,2,
11-09-2025,bihar,west champaran,845307,3,5,0,
11-09-2025,bihar,west champaran,845404,5,5,0,
11-09-2025,chhattisgarh,baloda bazar,493196,0,1,0,
11-09-2025,chhattisgarh,baloda bazar,493338,3,0,0,
11-09-2025,chhattisgarh,baloda bazar,493344,1,0,0,
11-09-2025,chhattisgarh,baloda bazar,493526,1,0,0,
11-09-2025,chhattisgarh,khairagarh chhuikhadan gandai,491885,1,0,0,
11-09-2025,delhi,north east delhi,110032,9,5,0,
11-09-2025,delhi,north east delhi,110053,16,7,0,
11-09-2025,delhi,north west delhi,110040,6,6,0,
11-09-2025,delhi,north west delhi,110086,25,13,0,
11-09-2025,delhi,south west delhi,110028,1,0,0,
11-09-2025,delhi,south west delhi,110070,3,1,1,
11-09-2025,delhi,south west delhi,110072,1,0,0,
11-09-2025,delhi,south west delhi,110073,2,0,0,
11-09-2025,delhi,south west delhi,110078,12,1,0,
11-09-2025,gujarat,dohad,389152,8,6,0,
11-09-2025,gujarat,dohad,389154,1,2,0,
11-09-2025,haryana,gurgaon,122003,3,0,0,
11-09-2025,haryana,gurgaon,122004,3,0,0,
11-09-2025,haryana,gurgaon,122009,1,0,0,
11-09-2025,haryana,gurgaon,122017,2,0,0,
11-09-2025,haryana,mewat,122103,9,3,0,
11-09-2025,haryana,mewat,122105,7,0,0,
11-09-2025,jammu and kashmir,leh,194201,2,0,0,
11-09-2025,jammu and kashmir,punch,185101,7,1,0,
11-09-2025,jammu and kashmir,punch,185111,3,2,0,
11-09-2025,jharkhand,pashchimi singhbhum,833214,0,1,0,
11-09-2025,jharkhand,purbi singhbhum,831003,1,1,0,
11-09-2025,jharkhand,purbi singhbhum,831009,1,0,0,
11-09-2025,jharkhand,purbi singhbhum,831018,1,0,0,
11-09-2025,jharkhand,purbi singhbhum,832107,1,0,0,
11-09-2025,uttar pradesh,allahabad,212405,2,0,0,
11-09-2025,uttar pradesh,allahabad,221503,10,5,0,
11-09-2025,uttar pradesh,allahabad,228411,2,2,0,
11-09-2025,west bengal,barddhaman,712402,1,0,0,
11-09-2025,west bengal,barddhaman,713101,15,4,0,
11-09-2025,west bengal,barddhaman,713102,3,3,0,
11-09-2025,west bengal,barddhaman,713128,14,0,0,
11-09-2025,west bengal,barddhaman,713141,4,0,0,
11-09-2025,west bengal,barddhaman,713201,5,0,0,
11-09-2025,west bengal,barddhaman,713215,0,1,0,
11-09-2025,west bengal,barddhaman,713334,0,1,0,
11-09-2025,west bengal,barddhaman,713338,2,2,0,
11-09-2025,west bengal,barddhaman,713357,2,0,0,
11-09-2025,west bengal,barddhaman,713368,1,1,0,
11-09-2025,west bengal,barddhaman,713378,1,0,0,
11-09-2025,west bengal,barddhaman,713401,3,2,0,
11-09-2025,west bengal,barddhaman,713422,20,2,0,
11-09-2025,west bengal,barddhaman,713426,2,0,0,
11-09-2025,west bengal,barddhaman,731215,0,1,0,
11-09-2025,west bengal,bardhaman,713128,2,0,0,
11-09-2025,west bengal,bardhaman,713408,1,0,0,
11-09-2025,west bengal,east midnapore,721152,1,0,0,
11-09-2025,west bengal,haora,711101,1,1,0,
11-09-2025,west bengal,haora,711312,1,0,0,
11-09-2025,west bengal,haora,711404,2,1,0,
11-09-2025,west bengal,haora,711405,5,2,0,
11-09-2025,west bengal,medinipur,721304,1,0,0,
11-09-2025,west bengal,south dinajpur,733103,1,0,0,
11-09-2025,west bengal,west midnapore,721124,0,1,0,
11-09-2025,west bengal,west midnapore,721133,4,1,0,
11-09-2025,west bengal,west midnapore,721135,1,1,0,
11-09-2025,west bengal,west midnapore,721201,1,0,0,
11-09-2025,west bengal,west midnapore,721301,5,2,0,
11-09-2025,west bengal,west midnapore,721436,1,0,0,
11-09-2025,odisha,subarnapur,767019,2,0,0,
11-09-2025,puducherry,pondicherry,605007,1,0,0,
11-09-2025,puducherry,pondicherry,605110,1,1,0,
11-09-2025,sikkim,east,737131,0,1,0,
11-09-2025,sikkim,east sikkim,737107,0,1,0,
11-09-2025,sikkim,north sikkim,737120,1,0,0,
11-09-2025,sikkim,south,737126,0,2,0,
11-09-2025,sikkim,south sikkim,737126,0,3,0,
11-09-2025,telangana,k.v. rangareddy,500018,6,0,0,
11-09-2025,telangana,k.v. rangareddy,500035,4,0,0,
11-09-2025,telangana,k.v. rangareddy,500048,4,2,0,
11-09-2025,telangana,k.v. rangareddy,500052,4,1,0,
11-09-2025,telangana,k.v. rangareddy,500058,1,1,0,
11-09-2025,telangana,k.v. rangareddy,500060,1,0,0,
11-09-2025,telangana,k.v. rangareddy,500074,3,4,0,
11-09-2025,telangana,k.v. rangareddy,501218,11,1,0,
11-09-2025,telangana,k.v. rangareddy,501401,3,1,0,
11-09-2025,telangana,k.v. rangareddy,509217,4,0,0,
11-09-2025,telangana,k.v. rangareddy,509228,1,0,0,
11-09-2025,telangana,k.v. rangareddy,509337,1,0,0,
11-09-2025,telangana,k.v. rangareddy,509358,2,0,0,
11-09-2025,uttar pradesh,allahabad,211001,1,6,0,
11-09-2025,uttar pradesh,allahabad,211007,2,3,0,
11-09-2025,uttar pradesh,allahabad,211008,5,6,0,
11-09-2025,uttar pradesh,allahabad,211013,1,2,0,
11-09-2025,uttar pradesh,allahabad,211016,2,3,0,
11-09-2025,uttar pradesh,allahabad,212108,0,2,0,
11-09-2025,uttar pradesh,allahabad,212208,1,3,0,
11-09-2025,uttar pradesh,allahabad,212306,6,5,0,
11-09-2025,uttar pradesh,allahabad,212401,1,4,0,
11-09-2025,uttar pradesh,allahabad,212402,10,7,0,
11-09-2025,andhra pradesh,adilabad,504001,3,0,0,
11-09-2025,andhra pradesh,adilabad,504102,1,0,0,
11-09-2025,andhra pradesh,adilabad,504231,4,0,0,
11-09-2025,andhra pradesh,adilabad,504292,2,0,0,
11-09-2025,andhra pradesh,adilabad,504296,2,0,0,
11-09-2025,andhra pradesh,cuddapah,516003,6,1,0,
11-09-2025,andhra pradesh,cuddapah,516101,1,0,0,
11-09-2025,andhra pradesh,cuddapah,516203,1,0,0,
11-09-2025,andhra pradesh,cuddapah,516214,1,0,0,
11-09-2025,andhra pradesh,cuddapah,516247,2,0,0,
11-09-2025,andhra pradesh,cuddapah,516356,0,1,0,
11-09-2025,andhra pradesh,hyderabad,500004,1,0,0,
11-09-2025,andhra pradesh,hyderabad,500008,4,4,0,
11-09-2025,andhra pradesh,hyderabad,500010,2,0,0,
11-09-2025,andhra pradesh,hyderabad,500045,1,0,0,
11-09-2025,andhra pradesh,hyderabad,500053,6,0,0,
11-09-2025,andhra pradesh,hyderabad,500072,1,0,0,
11-09-2025,andhra pradesh,hyderabad,500080,1,0,0,
11-09-2025,andhra pradesh,karim nagar,505305,1,0,0,
11-09-2025,andhra pradesh,karimnagar,505184,1,0,0,
11-09-2025,andhra pradesh,karimnagar,505187,2,0,0,
11-09-2025,andhra pradesh,khammam,507003,5,0,0,
11-09-2025,andhra pradesh,khammam,507129,0,1,0,
11-09-2025,andhra pradesh,khammam,507133,1,0,0,
11-09-2025,andhra pradesh,khammam,507164,1,0,0,
11-09-2025,andhra pradesh,khammam,507183,1,0,0,
11-09-2025,telangana,k.v. rangareddy,500005,13,2,0,
11-09-2025,telangana,k.v. rangareddy,500050,4,1,0,
11-09-2025,telangana,k.v. rangareddy,500055,2,0,0,
11-09-2025,telangana,k.v. rangareddy,500075,5,5,0,
11-09-2025,telangana,k.v. rangareddy,500076,3,0,0,
11-09-2025,telangana,k.v. rangareddy,500084,2,0,0,
11-09-2025,telangana,k.v. rangareddy,500088,4,0,0,
11-09-2025,telangana,k.v. rangareddy,500098,0,1,0,
11-09-2025,telangana,k.v. rangareddy,501142,1,0,0,
11-09-2025,telangana,k.v. rangareddy,501502,1,1,0,
11-09-2025,telangana,k.v. rangareddy,501510,5,1,0,
11-09-2025,uttar pradesh,allahabad,211019,9,3,0,
11-09-2025,uttar pradesh,allahabad,212109,1,4,0,
11-09-2025,uttar pradesh,allahabad,212404,0,2,0,
11-09-2025,uttar pradesh,allahabad,221507,0,8,0,
11-09-2025,uttar pradesh,allahabad,229413,0,1,0,
11-09-2025,west bengal,barddhaman,712410,2,0,0,
11-09-2025,west bengal,barddhaman,713125,4,0,0,
11-09-2025,west bengal,barddhaman,713142,3,0,0,
11-09-2025,west bengal,barddhaman,713143,9,1,0,
11-09-2025,west bengal,barddhaman,713146,3,1,0,
11-09-2025,west bengal,barddhaman,713150,8,1,0,
11-09-2025,west bengal,barddhaman,713157,2,3,0,
11-09-2025,west bengal,barddhaman,713206,1,0,0,
11-09-2025,west bengal,barddhaman,713321,2,1,0,
11-09-2025,west bengal,barddhaman,713322,0,1,0,
11-09-2025,west bengal,barddhaman,713336,0,1,0,
11-09-2025,west bengal,barddhaman,713358,0,3,0,
11-09-2025,west bengal,barddhaman,713369,0,1,0,
11-09-2025,west bengal,barddhaman,713371,0,1,0,
11-09-2025,west bengal,barddhaman,713381,1,0,0,
11-09-2025,west bengal,barddhaman,713405,3,1,0,
11-09-2025,west bengal,barddhaman,713421,2,1,0,
11-09-2025,west bengal,barddhaman,713423,2,0,0,
11-09-2025,west bengal,barddhaman,713502,3,0,0,
11-09-2025,west bengal,barddhaman,713514,1,0,0,
11-09-2025,west bengal,bardhaman,713102,1,0,0,
11-09-2025,west bengal,bardhaman,713130,0,1,0,
11-09-2025,west bengal,bardhaman,713322,1,0,0,
11-09-2025,west bengal,bardhaman,713407,3,0,0,
11-09-2025,west bengal,bardhaman,713409,1,0,0,
11-09-2025,west bengal,east midnapore,721131,1,0,0,
11-09-2025,west bengal,east midnapore,721401,6,2,0,
11-09-2025,west bengal,east midnapore,721432,2,0,0,
11-09-2025,west bengal,east midnapore,721433,2,1,0,
11-09-2025,west bengal,east midnapore,721444,1,0,0,
11-09-2025,west bengal,east midnapore,721447,3,0,0,
11-09-2025,west bengal,east midnapore,721452,3,0,0,
11-09-2025,west bengal,east midnapore,721641,2,0,0,
11-09-2025,west bengal,east midnapore,721655,0,1,0,
11-09-2025,west bengal,haora,711102,0,1,0,
11-09-2025,west bengal,haora,711106,1,1,0,
11-09-2025,west bengal,haora,711226,1,0,0,
11-09-2025,west bengal,haora,711227,1,1,0,
11-09-2025,west bengal,haora,711322,1,1,0,
11-09-2025,west bengal,haora,711325,1,0,0,
11-09-2025,west bengal,hugli,712246,0,1,0,
11-09-2025,west bengal,south dinajpur,733121,0,1,0,
11-09-2025,west bengal,south dinajpur,733132,4,0,0,
11-09-2025,west bengal,west midnapore,721101,2,0,0,
11-09-2025,west bengal,west midnapore,721166,0,1,0,
11-09-2025,west bengal,west midnapore,721305,1,0,0,
11-09-2025,west bengal,west midnapore,721517,1,0,0,
11-09-2025,gujarat,dohad,389155,5,4,0,
11-09-2025,haryana,gurgaon,122002,3,1,2,
11-09-2025,haryana,gurgaon,122006,1,0,0,
11-09-2025,haryana,gurgaon,122015,1,0,0,
11-09-2025,haryana,gurgaon,122016,1,0,0,
11-09-2025,haryana,gurgaon,122102,2,1,0,
11-09-2025,haryana,gurgaon,122103,1,0,0,
11-09-2025,haryana,mewat,122104,3,0,0,
11-09-2025,jammu and kashmir,kargil,194302,1,0,0,
11-09-2025,karnataka,bangalore,560005,1,0,0,
11-09-2025,karnataka,bangalore,560008,1,0,0,
11-09-2025,karnataka,bangalore,560010,2,0,0,
11-09-2025,karnataka,bangalore,560011,1,0,0,
11-09-2025,karnataka,bangalore,560033,1,0,0,
11-09-2025,karnataka,bangalore,560036,1,0,0,
11-09-2025,karnataka,bangalore,560046,2,0,0,
11-09-2025,karnataka,bangalore,560057,3,0,0,
11-09-2025,karnataka,bangalore,560072,1,0,0,
11-09-2025,karnataka,bangalore,560084,1,0,0,
11-09-2025,karnataka,bangalore,560098,2,0,0,
11-09-2025,karnataka,bangalore,562130,1,0,0,
11-09-2025,karnataka,belgaum,590005,0,1,0,
11-09-2025,karnataka,belgaum,590006,2,0,0,
11-09-2025,karnataka,belgaum,590008,1,0,0,
11-09-2025,karnataka,belgaum,590016,1,0,0,
11-09-2025,karnataka,belgaum,591111,1,0,0,
11-09-2025,karnataka,belgaum,591113,2,0,0,
11-09-2025,karnataka,belgaum,591124,1,0,0,
11-09-2025,karnataka,belgaum,591125,2,0,0,
11-09-2025,karnataka,belgaum,591126,3,0,0,
11-09-2025,karnataka,belgaum,591129,3,2,0,
11-09-2025,karnataka,belgaum,591153,1,0,0,
11-09-2025,karnataka,belgaum,591212,1,0,0,
11-09-2025,karnataka,belgaum,591220,6,3,0,
11-09-2025,karnataka,belgaum,591227,2,0,0,
11-09-2025,karnataka,belgaum,591238,1,1,0,
11-09-2025,karnataka,belgaum,591302,2,0,0,
11-09-2025,karnataka,belgaum,591313,1,0,0,
11-09-2025,karnataka,belgaum,591317,4,1,0,
11-09-2025,karnataka,bellary,583122,1,0,0,
11-09-2025,karnataka,bellary,583132,2,0,0,
11-09-2025,karnataka,bellary,583221,1,1,0,
11-09-2025,karnataka,bellary,583223,1,0,0,
11-09-2025,karnataka,bengaluru,560041,1,0,0,
11-09-2025,karnataka,bengaluru,560050,2,0,0,
11-09-2025,karnataka,bengaluru,560054,1,0,0,
11-09-2025,karnataka,bengaluru,560067,1,0,3,
11-09-2025,karnataka,bengaluru,560070,2,0,0,
11-09-2025,karnataka,bengaluru,560073,1,0,0,
11-09-2025,karnataka,bengaluru,560078,8,3,0,
11-09-2025,karnataka,bengaluru,560084,3,0,0,
11-09-2025,karnataka,bengaluru,560087,2,0,0,
11-09-2025,karnataka,bengaluru,560088,0,1,0,
11-09-2025,karnataka,bengaluru,560098,2,0,0,
11-09-2025,karnataka,bengaluru,560109,1,0,0,
11-09-2025,karnataka,bengaluru,560114,0,0,1,
11-09-2025,karnataka,bengaluru,562106,2,1,0,
11-09-2025,karnataka,bengaluru,562125,1,1,0,
11-09-2025,karnataka,bijapur,586101,2,1,0,
11-09-2025,karnataka,bijapur,586108,2,0,0,
11-09-2025,karnataka,bijapur,586206,1,0,0,
11-09-2025,karnataka,gulbarga,585101,2,0,0,
11-09-2025,karnataka,gulbarga,585218,1,0,0,
11-09-2025,karnataka,gulbarga,585310,5,3,0,
11-09-2025,karnataka,gulbarga,585317,1,0,0,
11-09-2025,karnataka,gulbarga,585324,1,0,0,
11-09-2025,karnataka,mysore,570014,1,0,0,
11-09-2025,karnataka,mysore,570024,1,0,0,
11-09-2025,karnataka,mysore,570028,1,0,0,
11-09-2025,karnataka,mysore,571124,10,0,0,
11-09-2025,karnataka,mysore,571129,1,0,0,
11-09-2025,karnataka,ramanagar,562127,12,1,0,
11-09-2025,karnataka,ramanagar,562131,14,0,0,
11-09-2025,madhya pradesh,east nimar,450112,0,1,0,
11-09-2025,madhya pradesh,east nimar,450554,1,0,0,
11-09-2025,madhya pradesh,hoshangabad,461001,7,1,0,
11-09-2025,madhya pradesh,hoshangabad,461111,13,4,0,
11-09-2025,madhya pradesh,hoshangabad,461668,5,0,0,
11-09-2025,madhya pradesh,west nimar,451221,0,2,0,
11-09-2025,madhya pradesh,west nimar,451335,1,0,0,
11-09-2025,madhya pradesh,west nimar,451441,1,1,0,
11-09-2025,maharashtra,ahmadnagar,413706,0,3,0,
11-09-2025,maharashtra,ahmadnagar,413709,4,3,0,
11-09-2025,maharashtra,ahmadnagar,413713,0,1,0,
11-09-2025,maharashtra,ahmadnagar,413715,3,1,0,
11-09-2025,maharashtra,ahmadnagar,413716,1,0,0,
11-09-2025,maharashtra,ahmadnagar,413726,1,0,0,
11-09-2025,maharashtra,ahmadnagar,414003,1,2,0,
11-09-2025,maharashtra,ahmadnagar,414106,0,1,0,
11-09-2025,maharashtra,ahmadnagar,414602,2,2,0,
11-09-2025,maharashtra,ahmadnagar,422605,2,2,0,
11-09-2025,maharashtra,ahmadnagar,423109,2,0,0,
11-09-2025,maharashtra,ahmadnagar,423602,1,0,0,
11-09-2025,maharashtra,ahmed nagar,414002,1,0,0,
11-09-2025,maharashtra,aurangabad,423701,6,8,0,
11-09-2025,maharashtra,aurangabad,431003,2,0,0,
11-09-2025,maharashtra,aurangabad,431008,6,2,0,
11-09-2025,maharashtra,aurangabad,431113,4,1,0,
11-09-2025,maharashtra,aurangabad,431132,4,0,0,
11-09-2025,maharashtra,aurangabad,431148,5,0,0,
11-09-2025,maharashtra,osmanabad,413501,5,5,0,
11-09-2025,maharashtra,osmanabad,413503,1,0,0,
11-09-2025,maharashtra,osmanabad,413505,3,0,0,
11-09-2025,maharashtra,osmanabad,413506,1,2,0,
11-09-2025,maharashtra,osmanabad,413525,4,2,0,
11-09-2025,manipur,imphal west,795001,3,2,0,
11-09-2025,meghalaya,east khasi hills,793007,1,0,0,
11-09-2025,meghalaya,east khasi hills,793016,0,0,1,
11-09-2025,meghalaya,north garo hills,783134,0,1,0,
11-09-2025,meghalaya,north garo hills,794112,6,18,0,
11-09-2025,meghalaya,south garo hills,794114,0,1,0,
11-09-2025,meghalaya,west jaintia hills,793161,0,2,0,
11-09-2025,meghalaya,west khasi hills,793120,3,1,1,
11-09-2025,odisha,baleshwar,756027,1,0,0,
11-09-2025,odisha,baleshwar,756047,1,0,0,
11-09-2025,odisha,baleshwar,756059,1,0,0,
11-09-2025,odisha,baleswar,756003,1,2,0,
11-09-2025,odisha,baleswar,756020,3,2,0,
11-09-2025,odisha,baleswar,756033,3,1,0,
11-09-2025,odisha,baleswar,756046,2,1,0,
11-09-2025,odisha,baleswar,756047,0,1,0,
11-09-2025,odisha,baleswar,756081,1,0,0,
11-09-2025,odisha,baleswar,756085,1,1,0,
11-09-2025,odisha,baleswar,756086,1,0,0,
11-09-2025,odisha,baleswar,756126,5,0,0,
11-09-2025,odisha,subarnapur,767016,5,0,0,
11-09-2025,puducherry,pondicherry,605008,1,0,0,
11-09-2025,puducherry,pondicherry,605107,1,0,0,
11-09-2025,punjab,nawanshahr,144521,2,0,0,
11-09-2025,punjab,nawanshahr,144522,1,0,0,
11-09-2025,sikkim,east sikkim,737101,2,0,0,
11-09-2025,andhra pradesh,adilabad,504204,1,0,0,
11-09-2025,andhra pradesh,adilabad,504209,1,0,0,
11-09-2025,andhra pradesh,cuddapah,516001,4,0,0,
11-09-2025,andhra pradesh,cuddapah,516002,2,0,0,
11-09-2025,andhra pradesh,cuddapah,516162,1,0,0,
11-09-2025,andhra pradesh,cuddapah,516175,1,0,0,
11-09-2025,andhra pradesh,cuddapah,516380,1,0,0,
11-09-2025,andhra pradesh,hyderabad,500002,2,1,0,
11-09-2025,andhra pradesh,hyderabad,500006,2,2,0,
11-09-2025,andhra pradesh,hyderabad,500020,3,0,0,
11-09-2025,andhra pradesh,hyderabad,500028,4,0,0,
11-09-2025,andhra pradesh,hyderabad,500042,1,0,0,
11-09-2025,andhra pradesh,hyderabad,500058,0,3,0,
11-09-2025,andhra pradesh,hyderabad,500061,3,0,0,
11-09-2025,andhra pradesh,karimnagar,505445,1,0,0,
11-09-2025,andhra pradesh,karimnagar,505531,3,1,0,
11-09-2025,andhra pradesh,khammam,507001,3,1,0,
